Object ID,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Alone Householder","Median Household Income in past 12 months, Black or African American Alone Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder - Margin of Error","Median Household Income in past 12 months, Asian Alone Householder","Median Household Income in past 12 months, Asian Alone Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Alone Householder","Median Household Income in past 12 months, Some Other Race Alone Householder - Margin of Error","Median Household Income in past 12 months, Two or More Races Householder","Median Household Income in past 12 months, Two or More Races Householder - Margin of Error","Median Household Income in past 12 months, White alone, not Hispanic Householder","Median Household Income in past 12 months, White alone, not Hispanic Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,Shape__Area,Shape__Length,Place Name,Place FIPS
35,39035106600,1569870,0,Census Tract 1066,Ohio,Cuyahoga County,52578,14234,0,0,56122,22230,53594,15780,34327,28603,0,0,0,0,0,0,0,0,0,0,74519,64455,47875,12802,0,0,1339,142,73,59,1266,151,5.5,4.3681772690764,2794601.171875,8875.56217525433,Cleveland city,16000
36,39035106800,599242,0,Census Tract 1068,Ohio,Cuyahoga County,41756,8140,0,0,44449,21347,34779,22084,60573,44008,41108,18261,0,0,0,0,0,0,42778,39988,2499,0,50154,10594,18051,10260,1279,232,132,79,1147,222,10.3,5.88617055877799,1067090.28515625,4180.6558191692,Cleveland city,16000
37,39035106900,1269788,0,Census Tract 1069,Ohio,Cuyahoga County,60035,9135,47222,35685,68591,14275,60362,8291,35662,8758,0,0,0,0,0,0,0,0,0,0,61702,7144,60355,8910,39868,36629,1712,173,158,96,1554,158,9.2,5.52938065458806,2260651.19140625,6605.61979239068,Cleveland city,16000
38,39035107000,2806521,65621,Census Tract 1070,Ohio,Cuyahoga County,88316,12555,0,0,93636,33642,94583,25997,46500,18228,2499,0,0,0,0,0,0,0,0,0,0,0,88240,15898,108036,59531,736,79,39,28,697,88,5.3,3.76159061836434,5016198.53515625,15919.1714611242,Cleveland city,16000
39,39035107101,3991200,3238869,Census Tract 1071.01,Ohio,Cuyahoga County,96458,20238,69883,9388,100982,26192,161417,62033,0,0,57578,36379,0,0,0,0,0,0,0,0,65625,6399,116667,26031,0,0,1692,175,73,60,1619,177,4.3,3.517910979363,7124136.84375,21682.7800332008,Cleveland city,16000
40,39035107701,1990856,112551,Census Tract 1077.01,Ohio,Cuyahoga County,58668,7084,24635,15718,66494,6017,0,0,0,0,11746,3034,0,0,56648,7756,0,0,0,0,66399,5299,72902,6670,62143,42374,3159,298,234,140,2925,298,7.4,4.37634746642207,3551870.99609375,12203.8215444716,Cleveland city,16000
41,39035107802,1834386,0,Census Tract 1078.02,Ohio,Cuyahoga County,31367,16892,17702,13538,64534,16047,0,0,24375,12491,16719,14521,0,0,0,0,0,0,0,0,2499,0,70357,21518,0,0,1959,250,112,82,1847,260,5.7,4.12173154415796,3273665.23046875,7806.27034572232,Cleveland city,16000
42,39035108201,2124291,1297589,Census Tract 1082.01,Ohio,Cuyahoga County,37091,12140,49432,5496,0,0,0,0,0,0,17431,11269,0,0,0,0,0,0,0,0,0,0,52550,26227,49242,32672,884,200,120,94,764,176,13.6,10.1803131714198,3792538.39453125,11294.8036291367,Cleveland city,16000
43,39035108301,1370770,0,Census Tract 1083.01,Ohio,Cuyahoga County,33882,5895,17135,10719,33833,18672,64773,29512,19940,18954,30708,8260,0,0,38462,28515,0,0,21184,4277,60667,33258,29375,16574,39145,16213,744,83,62,48,682,84,8.3,6.38428087340004,2446341.95703125,9958.08616340256,Cleveland city,16000
44,39035108400,558183,0,Census Tract 1084,Ohio,Cuyahoga County,24569,6474,0,0,27198,16533,17228,1929,28750,23168,27045,21704,0,0,17222,13857,0,0,0,0,0,0,24167,13155,12833,7781,544,103,37,38,507,93,6.8,6.86556338570693,996284.8828125,4846.69883313182,Cleveland city,16000
45,39035108701,1456361,0,Census Tract 1087.01,Ohio,Cuyahoga County,19245,1830,26600,5564,18249,1525,21686,19264,0,0,19093,2834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,260,51,57,1861,264,2.7,2.95902353416254,2598392.10546875,7727.80487183617,Cleveland city,16000
46,39035109301,769006,0,Census Tract 1093.01,Ohio,Cuyahoga County,10769,1390,0,0,2499,0,10894,2899,12351,2762,11386,1829,0,0,0,0,0,0,0,0,2499,0,0,0,9034,3713,878,213,0,12,878,213,0,1.36674259681093,1371857.66796875,5992.32114356065,Cleveland city,16000
47,39035109701,765751,0,Census Tract 1097.01,Ohio,Cuyahoga County,10142,4969,2499,0,14495,10193,9306,5289,0,0,8627,3002,0,0,0,0,0,0,0,0,0,0,0,0,20449,9821,703,123,26,41,677,127,3.7,5.79613820379401,1365806.19140625,5878.94087259529,Cleveland city,16000
48,39035109801,745959,0,Census Tract 1098.01,Ohio,Cuyahoga County,14161,3540,0,0,0,0,10794,930,12500,2216,13592,3527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949,250,18,29,931,249,1.9,3.01472090764645,1330443.62109375,4781.01974347163,Cleveland city,16000
49,39035110901,3335528,84637,Census Tract 1109.01,Ohio,Cuyahoga County,34600,8890,0,0,33726,7740,38735,12884,19132,14486,37537,10620,0,0,0,0,0,0,0,0,0,0,29563,7660,0,0,1244,323,110,106,1134,337,8.8,8.20576319326852,5943993.71875,13958.078174902,Cleveland city,16000
50,39035111202,2886971,1238715,Census Tract 1112.02,Ohio,Cuyahoga County,50469,27244,0,0,55479,32402,37500,27904,0,0,55071,53116,0,0,0,0,0,0,0,0,0,0,34500,28626,0,0,473,134,21,21,452,136,4.4,4.25785833646686,5156318.44140625,17371.9774644372,Cleveland city,16000
51,39035111401,657211,0,Census Tract 1114.01,Ohio,Cuyahoga County,19712,5444,0,0,11832,3829,0,0,0,0,20192,4937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,117,0,12,460,117,0,2.60869565217391,1173933.63671875,6503.50022696727,Cleveland city,16000
52,39035111700,397221,0,Census Tract 1117,Ohio,Cuyahoga County,0,0,0,0,39085,4569,0,0,18667,8574,19231,17075,0,0,63158,21007,0,0,0,0,0,0,0,0,0,0,356,92,1,6,355,93,0.3,1.68382922520913,709289.625,3951.37580001558,Cleveland city,16000
53,39035112100,594528,0,Census Tract 1121,Ohio,Cuyahoga County,12115,5896,0,0,34133,16850,9697,6218,11952,1126,12492,7106,0,0,0,0,0,0,0,0,2499,0,0,0,0,0,886,184,0,12,886,184,0,1.35440180586907,1061311.95703125,6073.14655103861,Cleveland city,16000
54,39035112200,499508,0,Census Tract 1122,Ohio,Cuyahoga County,24289,5439,0,0,22888,3187,0,0,18713,4462,24138,4839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,90,68,19,305,96,18.2,2.56860700343151,891725.98828125,5785.23141333359,Cleveland city,16000
55,39035112301,671706,0,Census Tract 1123.01,Ohio,Cuyahoga County,15927,14049,0,0,0,0,18542,17867,12157,7077,17460,17115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,259,33,40,772,264,4.1,4.79070219733409,1198791.0234375,5059.35217226378,Cleveland city,16000
56,39035114501,3157107,0,Census Tract 1145.01,Ohio,Cuyahoga County,29063,22299,0,0,38878,3444,0,0,18804,14516,24000,20828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,76,50,53,347,72,12.6,13.1306053900684,5628709.734375,11695.5288403327,Cleveland city,16000
57,39035114600,1372494,0,Census Tract 1146,Ohio,Cuyahoga County,30646,6893,0,0,31813,12633,18608,2371,33693,8602,30510,12680,0,0,0,0,0,0,0,0,0,0,43750,23674,0,0,542,209,13,19,529,202,2.4,3.38132380077476,2446879.39453125,7434.83130589431,Cleveland city,16000
58,39035115400,704153,0,Census Tract 1154,Ohio,Cuyahoga County,32159,7395,0,0,0,0,32308,14976,31250,8371,30705,10781,0,0,0,0,0,0,0,0,0,0,37167,11811,60250,16512,923,137,13,24,910,140,1.4,2.59179914786631,1254506.90625,5740.60509550115,Cleveland city,16000
59,39035115700,884730,0,Census Tract 1157,Ohio,Cuyahoga County,34328,2561,0,0,34044,750,35682,26270,37708,28764,33043,24218,0,0,0,0,0,0,0,0,53185,8202,37703,6878,49464,27336,766,226,57,55,709,258,7.4,6.836270912615,1575862.56640625,5496.7659028788,Cleveland city,16000
60,39035115800,1497487,0,Census Tract 1158,Ohio,Cuyahoga County,30659,4953,0,0,27361,11959,34265,14994,29583,7944,31829,15830,0,0,0,0,0,0,0,0,0,0,27279,7034,0,0,1084,194,51,70,1033,187,4.7,6.40243486238589,2667523.81640625,8420.13236868825,Cleveland city,16000
61,39035115900,1282306,0,Census Tract 1159,Ohio,Cuyahoga County,53188,8498,0,0,52724,18283,54676,4103,48214,43404,44404,21784,0,0,0,0,0,0,0,0,0,0,52719,8779,68255,7172,1368,191,63,62,1305,197,4.6,4.48632107679489,2283588.91796875,6937.98065588315,Cleveland city,16000
62,39035116300,544074,0,Census Tract 1163,Ohio,Cuyahoga County,27833,6955,0,0,0,0,34438,16411,31313,4828,27719,7270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,136,43,68,515,130,7.7,12.0407751886389,972089.3125,4006.38915675382,Cleveland city,16000
